WKT,Drawings
"MULTIPOLYGON (((123.937830513386 10.381373149963,123.926384614795 10.3870023645136,123.924642847618 10.3923867357476,123.923647552088 10.3982604894398,123.923647552088 10.4038893997104,123.922652256558 10.411476031158,123.924394023735 10.414902191319,123.931858740208 10.4163705341469,123.93409815515 10.416615257279,123.944051110447 10.4095182084493,123.947783468683 10.4070709127808,123.951018179155 10.4038893997104,123.95251112245 10.4024209981218,123.953506417979 10.3965473226909,123.953506417979 10.393365702367,123.949276411978 10.3872471106731,123.949276411978 10.3872471106731,123.937830513386 10.381373149963)))",Pink area
"MULTIPOLYGON (((123.920164017734 10.4286064552787,123.918173426674 10.4305641580447,123.918173426674 10.4305641580447,123.922154608793 10.4337453987755,123.919915193851 10.4354583610823,123.919168722204 10.4401077826518,123.925140495382 10.4388842573986,123.928624029736 10.4374160207406,123.932605211855 10.4379054337301,123.936088746209 10.4379054337301,123.941562871623 10.4379054337301,123.943553462682 10.4383948459494,123.946290525389 10.4413313030909,123.948281116448 10.4418207099183,123.953008770215 10.4418207099183,123.961219958335 10.4467147358157,123.966445259866 10.4491617198635,123.969431146455 10.4520980752804,123.974407624103 10.4552790956548,123.974656447986 10.4523427703121,123.974905271868 10.4484276266726,123.980130573399 10.4445124336978,123.98535587493 10.4391289628343,123.982867636106 10.4393736680776,123.979881749517 10.4415760066009,123.975402919633 10.4418207099183,123.971919385279 10.4349689442427,123.970177618102 10.4288511687978,123.970177618102 10.4256698780464,123.969679970337 10.4219991175631,123.967440555395 10.417594147886,123.965201140454 10.414902191319,123.960224662805 10.411476031158,123.956989952333 10.4073156432117,123.952759946332 10.4078051034974,123.948032292566 10.4112313039916,123.941811695505 10.416615257279,123.938328161151 10.4227332731208,123.938328161151 10.4246910128145,123.938328161151 10.4276275992788,123.938079337269 10.4300747335075,123.936337570092 10.4325218484969,123.933351683503 10.4325218484969,123.928375205854 10.4315430048101,123.923647552088 10.4293405952588,123.920164017734 10.4286064552787)))",Pink area
"MULTIPOLYGON (((123.924020787911 10.474609210662,123.927006674501 10.4836621412359,123.927006674501 10.4836621412359,123.927877558089 10.4861088338038,123.92899726556 10.4867205039244,123.931485504384 10.4885555070336,123.931734328267 10.4896565036769,123.931734328267 10.4923478123131,123.932854035738 10.4951614281273,123.935839922327 10.497608029769,123.938576985034 10.4983420064869,123.940691988034 10.497730359343,123.939821104446 10.4922254806103,123.93820374921 10.4894118380947,123.935839922327 10.4879438405394,123.933600507385 10.4875768400625,123.932356387973 10.4850078245411,123.932231976032 10.4832951356831,123.93098785662 10.4812154293343,123.92899726556 10.480359075602,123.926882262559 10.4784016867518,123.924020787911 10.474609210662)))",Pink area
"MULTIPOLYGON (((123.716252846083 10.2413445726685,123.718492261024 10.2440380158694,123.718492261024 10.246241725105,123.720234028201 10.2489351266974,123.721975795378 10.2489351266974,123.724712858085 10.2484454190196,123.72620580138 10.2506490976099,123.727698744674 10.2523630592502,123.731928750676 10.2535873118871,123.732177574558 10.251383653734,123.732177574558 10.2494248336184,123.73541228503 10.2501593925809,123.737651699972 10.2530976114002,123.738646995501 10.2553012576289,123.737154052207 10.2570151940946,123.737154052207 10.2609327283182,123.739642291031 10.2633811625859,123.743872297032 10.2658295779084,123.746111711974 10.2663192586991,123.747604655269 10.2631363200116,123.747604655269 10.2594636586657,123.746360535857 10.2575048885237,123.745116416444 10.2555461062634,123.743125825385 10.2535873118871,123.74163288209 10.2526079101561,123.739642291031 10.2496696867951,123.738895819384 10.246241725105,123.738646995501 10.2447725873168,123.738398171619 10.2420791503559,123.737900523854 10.2410997130613,123.737900523854 10.2410997130613,123.73541228503 10.2401202727416,123.731679926793 10.2401202727416,123.728942864087 10.2401202727416,123.72421521032 10.2401202727416,123.722224619261 10.2401202727416,123.720482852084 10.2401202727416,123.719736380437 10.2401202727416,123.719736380437 10.2401202727416,123.716252846083 10.2413445726685)))",Pink area
"MULTIPOLYGON (((123.708414893786 10.2900678664884,123.709410189316 10.293372943529,123.709410189316 10.2934953531249,123.709659013198 10.2950866735492,123.710654308728 10.2966779859455,123.711276368434 10.2977796590549,123.713515783376 10.2999829937273,123.715879610259 10.3005950284037,123.717870201318 10.2999829937273,123.719736380437 10.2990037357737,123.719736380437 10.2980244747788,123.718865496848 10.2969228025246,123.717745789377 10.2953314913635,123.715630786377 10.293372943529,123.713018135611 10.2916592041997,123.710778720669 10.2905575097158,123.709410189316 10.2901902773664,123.708414893786 10.2900678664884)))",Pink area
"MULTIPOLYGON (((123.742877001503 10.3338879225449,123.740761998502 10.3381716787584,123.740761998502 10.3384164630633,123.74163288209 10.3397627733301,123.742503765679 10.3414762507767,123.744121120915 10.3433121090929,123.744121120915 10.3450255671685,123.744494356738 10.3478405137,123.746360535857 10.3512673710457,123.749097598563 10.3528583992313,123.750341717975 10.3496763347902,123.747977891092 10.348085290466,123.74673377168 10.347473348193,123.746360535857 10.3462494600672,123.746360535857 10.3428225479249,123.745240828386 10.3392732066282,123.743747885091 10.3382940709347,123.743250237326 10.3353566455412,123.742877001503 10.3338879225449)))",Pink area
"MULTIPOLYGON (((123.703189592255 10.3436792794679,123.703189592255 10.3499211101239,123.703065180314 10.3499211101239,123.704433711667 10.3500434977192,123.707170774374 10.3471061822565,123.706921950491 10.3444136189295,123.705055771373 10.3435568893906,123.703189592255 10.3436792794679)))",Pink area
"MULTIPOLYGON (((123.702194296725 10.3616701014726,123.702194296725 10.366810146701,123.703065180314 10.3664430034102,123.704558123608 10.365953478353,123.705304595256 10.3643625166338,123.704931359432 10.362771546835,123.704060475844 10.3616701014726,123.702194296725 10.3616701014726)))",Pink area
"MULTIPOLYGON (((123.713391371435 10.3533479447417,123.714137843082 10.357631435357,123.714137843082 10.357631435357,123.714137843082 10.3589776631778,123.713142547552 10.3599567343249,123.712271663964 10.3609358024135,123.71189842814 10.362893929414,123.714013431141 10.3636282238844,123.715381962494 10.3650968076621,123.717372553554 10.3654639525308,123.719238732672 10.3648520441773,123.719860792378 10.3635058415922,123.722473443143 10.3608134190697,123.721478147614 10.3599567343249,123.719487556554 10.3598343505987,123.718119025201 10.3592224312513,123.717870201318 10.3577538199433,123.717870201318 10.3559180461331,123.715257550553 10.3540822615743,123.713391371435 10.3533479447417)))",Pink area
"MULTIPOLYGON (((123.756064667271 10.3545718051742,123.758926141919 10.3572642813116,123.76203644045 10.3599567343249,123.765395562863 10.3616701014726,123.769998804687 10.3630163119453,123.772611455453 10.3637506061289,123.774850870395 10.3637506061289,123.775472930101 10.3635058415922,123.776343813689 10.3621596332228,123.771367336041 10.3619148674433,123.768008213628 10.3617924844818,123.765644386745 10.3602015016338,123.763653795686 10.3587328949131,123.762409676273 10.3571418965343,123.760792321038 10.3549389623726,123.759921437449 10.353959875555,123.759174965802 10.3527360127344,123.758055258331 10.3522464662689,123.756189079213 10.3527360127344,123.756189079213 10.3527360127344,123.756064667271 10.3545718051742)))",Pink area
