WKT,id,Landuse
"MULTIPOLYGON (((123.871797068648 10.2690466952064,123.872859398238 10.2681470395945,123.871858021985 10.2670503131016,123.870847938113 10.2678899946639,123.871797068648 10.2690466952064)))","11",BRT Depot
"MULTIPOLYGON (((123.872863079974 10.2681424062762,123.873385748584 10.2677361853623,123.873419835667 10.2675945669394,123.872480547152 10.2665324267467,123.871866979654 10.2670467266538,123.872863079974 10.2681424062762)))","12",COA
"MULTIPOLYGON (((123.873655724056 10.2674805787357,123.874498288578 10.2667551399051,123.874498288578 10.266584143367,123.872549858122 10.2644026339668,123.872402409331 10.2644285427177,123.872402409331 10.2644285427177,123.871559844809 10.2651488051455,123.871549312753 10.2653249841948,123.873539871435 10.2674961238353,123.873655724056 10.2674805787357)))","13",UP Campus
"MULTIPOLYGON (((123.871312341481 10.2650762608026,123.871433460131 10.2651073512373,123.871559844809 10.2650710790632,123.872328684935 10.2643456347072,123.872360281105 10.2642471814164,123.872360281105 10.2641798186208,123.870896325249 10.2625216529781,123.870669886033 10.2622625638115,123.870575097525 10.262241836669,123.869648276551 10.2630035582637,123.869648276551 10.2630035582637,123.869595616269 10.2631486478833,123.870417116677 10.2640917287896,123.871312341481 10.2650762608026,123.871312341481 10.2650762608026)))","14",DPWH
"MULTIPOLYGON (((123.871607239064 10.2631227390276,123.872023255296 10.2627289241586,123.87149665247 10.2621382009362,123.871517716583 10.2620812012687,123.871601973035 10.2620915648454,123.871786284024 10.2619361111596,123.87177048594 10.2618635660801,123.871928466787 10.2617081122824,123.871601973035 10.2613350228562,123.870701482203 10.2620760194802,123.871607239064 10.2631227390276)))","15",Available lot
"MULTIPOLYGON (((123.87201272324 10.2627237423807,123.872881617902 10.2619931108532,123.871986393098 10.260987842023,123.871601973035 10.2613453864573,123.871925861494 10.2617078196508,123.871766554772 10.261862733897,123.871785296739 10.2619355804509,123.871607239064 10.2620863830571,123.871517286607 10.2620794292928,123.871495733345 10.2621402883986,123.87201272324 10.2627237423807)))","16",No label (white)
"MULTIPOLYGON (((123.871608351219 10.2631215317681,123.872183984582 10.2637647574415,123.873608433244 10.262511906229,123.873023043383 10.261868678009,123.873023043383 10.261868678009,123.871608351219 10.2631215317681)))","17",DOH
"MULTIPOLYGON (((123.873603554995 10.2625167064347,123.872169349836 10.2637839581878,123.872462044766 10.264081569606,123.872618148729 10.264081569606,123.873832832691 10.2630399284175,123.873910884672 10.2628767216533,123.873603554995 10.2625167064347,123.873603554995 10.2625167064347)))","18",Lot 3
"MULTIPOLYGON (((123.874770838725 10.2665094598636,123.875250276018 10.2661050928568,123.875332465269 10.265983782654,123.875483145561 10.2656063728367,123.875551636603 10.2652761388772,123.875551636603 10.2650200388345,123.875476296457 10.2648043754799,123.875394107206 10.2645145776156,123.874085928307 10.2630588447937,123.873962644431 10.2630521052743,123.873901002494 10.2630858028697,123.873832511452 10.2631262399796,123.872743503886 10.2641236870527,123.872688711053 10.2642180399914,123.872688711053 10.2643258718869,123.873181846554 10.2648380728887,123.874579063808 10.2665094598636,123.874770838725 10.2665094598636)))","19",Available lot
"MULTIPOLYGON (((123.875721846632 10.2658712466943,123.876197058406 10.2654230086249,123.875594135025 10.2647873591539,123.875594135025 10.2647873591539,123.875626434492 10.265009836614,123.875625199702 10.2654251832922,123.875569972885 10.2657489755705,123.875721846632 10.2658712466943)))","20",Available lot
"MULTIPOLYGON (((123.874623472729 10.2735927639137,123.876749885557 10.2717336006702,123.877209306281 10.2714119441039,123.877651056977 10.2711424478099,123.87799562252 10.2710033528586,123.878773103745 10.2707599365466,123.87885261887 10.2705599872929,123.878861453884 10.2703687313668,123.87889679394 10.2701513949467,123.878870288898 10.2699862191676,123.87885261887 10.2697601890141,123.879524079928 10.2696123999803,123.879524079928 10.2696123999803,123.879409224747 10.2692211933809,123.879276699538 10.2690734040952,123.877315326448 10.2667609274538,123.877306491434 10.2666913790223,123.876484835139 10.2657524736998,123.876378814972 10.2657263929566,123.876272794805 10.2657698608607,123.873896176061 10.267804152092,123.871838085056 10.2695383860614,123.871541092374 10.2697994112537,123.871541092374 10.2697994112537,123.871526675254 10.2699015514878,123.871546859223 10.2699469471367,123.871647779066 10.2700802968179,123.872388819057 10.2709286264515,123.872795381854 10.2714506743255,123.873689243323 10.2724805814623,123.874623472729 10.2735927639137)))","21",Filinvest (JV)
"MULTIPOLYGON (((123.879507461283 10.2706228813477,123.879582315333 10.2705387046141,123.879617068998 10.2703992868497,123.87961439564 10.2700731016514,123.879584988691 10.2697021971058,123.879528848154 10.2696127590651,123.878847141631 10.2697653298251,123.878908628886 10.270157278509,123.878868528502 10.2703677205549,123.878857835067 10.2705623793227,123.87877496094 10.2707649295349,123.879507461283 10.2706228813477)))","22",Available lot
"MULTIPOLYGON (((123.877459153147 10.2767226619757,123.879558575364 10.2749274283268,123.879633554728 10.2747880718636,123.879625223688 10.274681505115,123.879358630391 10.2738863520874,123.879175347499 10.273345318987,123.879108699174 10.2728862598726,123.879108699174 10.2723452250605,123.879175347499 10.2719517446156,123.879433609755 10.2710336216731,123.879333637269 10.2709680413609,123.879125361255 10.2709680413609,123.878900423161 10.2710090290576,123.878625498823 10.2710664118241,123.878383898647 10.2711319921159,123.878058988066 10.2712795477227,123.877759070607 10.2714271032606,123.877475815229 10.2715828562537,123.877292532337 10.2717304116501,123.876551069729 10.272304237537,123.876076200418 10.272689520048,123.875068144513 10.2735420584034,123.874893192661 10.2736978103545,123.874818213296 10.2738699571586,123.877300863377 10.2767554515365,123.877459153147 10.2767226619757)))","23",Available lot
"MULTIPOLYGON (((123.878242270958 10.2776571631267,123.880051013436 10.2760787323565,123.880083467665 10.2760445177293,123.880095058461 10.2759806504155,123.879930469157 10.2754948022125,123.879763561694 10.2750317630891,123.879705607714 10.2749975483487,123.879673153485 10.2749884244173,123.879649971893 10.2749838624515,123.879605926868 10.2750089532626,123.87942279229 10.2751617790691,123.878840934328 10.2756727185425,123.878395847759 10.2760650465061,123.877830216911 10.2765508938324,123.877635491538 10.2767356524788,123.877517265418 10.276849700972,123.877501038303 10.2768656677578,123.877491765666 10.2768953203578,123.877496401985 10.2769455016745,123.877519583577 10.2769934020149,123.87801103333 10.27756136264,123.878117668654 10.2776799727621,123.878154759201 10.2776936585426,123.878182577112 10.2776959395059,123.87821503134 10.2776868156524,123.878242270958 10.2776571631267)))","24",Available lot
"MULTIPOLYGON (((123.879729274445 10.2739207608285,123.880308407766 10.2731844124405,123.880308407766 10.2731115563631,123.880800265385 10.2717116756151,123.881175769588 10.2705719911723,123.881286834211 10.2702857684066,123.881556562582 10.2695572001976,123.881545984999 10.2694791392185,123.881530118624 10.2694218944883,123.881461364334 10.2694114863544,123.881186347171 10.2694531188879,123.880826709343 10.2695519961329,123.880049256978 10.269713322098,123.879932903563 10.2697497505303,123.879901170814 10.2697653627143,123.879890593231 10.2697809748976,123.879890593231 10.2698278114426,123.879901170814 10.2701192386783,123.879895882022 10.2702649521954,123.879853571689 10.2705928073634,123.879737218274 10.2710091308963,123.879578554527 10.271581574859,123.879451623528 10.2720187131871,123.879398735612 10.2723569745739,123.879382869238 10.2727576837483,123.879419890779 10.2731063523569,123.879499222653 10.2733925725692,123.879530955402 10.2735486925757,123.879613588337 10.2737093598937,123.879729274445 10.2739207608285)))","25",UHRI
"MULTIPOLYGON (((123.880281963808 10.2732052284595,123.880678623178 10.2731583924148,123.880816131759 10.2730491082834,123.880869019675 10.2729866601913,123.880995950673 10.2729033960494,123.88114932563 10.2728253358965,123.881307989377 10.2726379914507,123.881413765209 10.2725443191862,123.881535407416 10.2725130950918,123.881672915997 10.2724766669779,123.881799846996 10.2724610549277,123.881953221952 10.2724662589445,123.882164773616 10.2724714629612,123.882355170113 10.2724610549277,123.882492678694 10.2722268740833,123.882460945945 10.2718365722905,123.882386902862 10.2714618821161,123.882238816698 10.2712537207162,123.88218063999 10.2710819874582,123.882016687451 10.2708946419794,123.881646472039 10.270613623553,123.881392610043 10.2703950534932,123.881276256628 10.2703013805642,123.880281963808 10.2732052284595)))","26",UHRI
