WKT,Drawings,layer,path
"MULTIPOLYGON (((123.938727103002 10.2556297260876,123.935268363893 10.2553836913253,123.935268363893 10.2553836913253,123.935643407893 10.2560397835999,123.935976780337 10.257023919463,123.936476839004 10.2580490577343,123.937435284781 10.2586231337164,123.938268715891 10.2592792192783,123.939060475447 10.259566256284,123.938768774558 10.257926041317,123.940268950557 10.2580080522672,123.940268950557 10.2568188914104,123.938727103002 10.2556297260876)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.943269302555 10.2604273657396,123.940477308335 10.2605093760418,123.940060592779 10.2606323914552,123.940060592779 10.2613704829316,123.940310622112 10.2621495776226,123.940685666112 10.2631336944907,123.941394082556 10.264240822309,123.941727455 10.2643228316229,123.941560768778 10.2628056558747,123.941894141223 10.2621495776226,123.942602557667 10.2615755080362,123.942810915444 10.2615755080362,123.942810915444 10.2615755080362,123.943269302555 10.2604273657396)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.940352293668 10.2718265938704,123.941060710112 10.2708835078511,123.941060710112 10.2708835078511,123.941519097223 10.2711295305621,123.942894258555 10.2715805717018,123.943435988777 10.2722776340156,123.943352645666 10.2736717540325,123.946311326109 10.2734667367686,123.946936399442 10.2730156983198,123.945811267443 10.2728516841789,123.945144522554 10.2725646592276,123.944102733666 10.272031612198,123.943811032777 10.2717855901889,123.943477660333 10.2712935455964,123.943102616333 10.271047523013,123.942852587 10.2709655154427,123.942269185222 10.2708425040473,123.941602440334 10.2703504579872,123.941102381668 10.27010443467,123.940602323001 10.2701864424636,123.940185607446 10.2711705343286,123.940352293668 10.2718265938704)))",Light Violet,polygon_light_violet,C:\Users\NJ533CG\qgis_projects\fco_cebu\mapEfforts_04012021\[M. De Lara][Phil Bonds][Handcrafted-Dr] Tsunami inundation risk areas\Polygon_light violet.shp
"MULTIPOLYGON (((123.852394057831 10.2557629948373,123.852644087164 10.2565010976665,123.852644087164 10.2578542817182,123.852602415609 10.2587564012062,123.852602415609 10.2599455547853,123.85306080272 10.261585759288,123.853352503608 10.262200833785,123.855936140051 10.2621188239211,123.856644556495 10.261585759288,123.855436081385 10.26138073419,123.854769336496 10.2610116886789,123.855144380496 10.2602735963658,123.855727782274 10.2595355023316,123.855727782274 10.258961428004,123.855436081385 10.2585513742755,123.854811008052 10.2581413200159,123.854227606274 10.2574442265557,123.854144263163 10.2569521596597,123.854019248497 10.255886012095,123.854019248497 10.255886012095,123.852394057831 10.2557629948373)))",Orange,polygon_orange,C:/Users/NJ533CG/qgis_projects/fco_cebu/mapEfforts_04012021/postprocessing/orange_minus_red_minus_violet_minus_light_violet.geojson
"MULTIPOLYGON (((123.869396052488 10.2599865600015,123.869396052488 10.262036814036,123.869396052488 10.262036814036,123.86993778271 10.2639640407176,123.870312826709 10.2647021244232,123.871104586265 10.2654402064071,123.871021243153 10.2662602954806,123.871813002709 10.2669573695215,123.872396404486 10.267531429343,123.873521536485 10.26851552947,123.872854791597 10.2696226384527,123.868895993821 10.2706067320724,123.869271037821 10.2720418631109,123.873021477819 10.2742150491389,123.875521771151 10.2729849456749,123.875563442706 10.2721648740397,123.875646785817 10.2710577739578,123.876063501373 10.2700736817419,123.876355202261 10.2682695047253,123.876021829817 10.2669163652087,123.874980040929 10.2647841336176,123.874146609818 10.2640870547881,123.872313061375 10.2633079648671,123.872146375153 10.2624468632491,123.871813002709 10.2619137991685,123.870812885376 10.261216714016,123.869396052488 10.2599865600015)))",Orange,polygon_orange,C:/Users/NJ533CG/qgis_projects/fco_cebu/mapEfforts_04012021/postprocessing/orange_minus_red_minus_violet_minus_light_violet.geojson
"MULTIPOLYGON (((123.857978046272 10.2647021244232,123.856144497829 10.2661372822551,123.855519424496 10.2679004672494,123.855519424496 10.2686385417706,123.855894468496 10.2693766145693,123.856852914273 10.2701146856454,123.857728016939 10.2707707473779,123.858436433383 10.2715908226293,123.859311536049 10.2731489597467,123.859186521383 10.2747890957839,123.858894820494 10.2760601953589,123.858978163605 10.2768802568877,123.86014496716 10.2779873365758,123.860936726715 10.2793814314059,123.861311770715 10.2806525125072,123.861811829381 10.2815545669601,123.86368704938 10.2823336119145,123.865353911601 10.2823336119145,123.862770275158 10.2808165225993,123.86172848627 10.2798734634067,123.860436668049 10.2781513480515,123.859644908494 10.2768392538618,123.859894937827 10.2750351154554,123.859894937827 10.2741740457672,123.859978280938 10.2731079562367,123.859982448093 10.273046450962,123.859947027271 10.2728721859512,123.85988165364 10.2723254173314,123.859478222271 10.2718368447899,123.858811477383 10.271262792784,123.85792563415 10.2703119034609,123.857071689939 10.2698379091937,123.857040034676 10.2695108538151,123.856936257384 10.2694176185631,123.857061272051 10.2678594630589,123.857269629828 10.2672033952869,123.857311301384 10.2671623910059,123.857978046272 10.2647021244232)))",Orange,polygon_orange,C:/Users/NJ533CG/qgis_projects/fco_cebu/mapEfforts_04012021/postprocessing/orange_minus_red_minus_violet_minus_light_violet.geojson
"MULTIPOLYGON (((123.873729894263 10.2859007932114,123.87468834004 10.285941795061,123.875855143595 10.2857777876307,123.87627185915 10.2872948531107,123.87739699115 10.2875408630421,123.879105524926 10.2881558870318,123.880022299148 10.2884838993364,123.881022416481 10.2885249008505,123.882647607147 10.2894269328132,123.883481038257 10.2902879609181,123.883856082257 10.2891399229229,123.883522709813 10.2886889068536,123.883496512985 10.2886851163256,123.883258923818 10.2887419790045,123.881935371233 10.2886715860204,123.881613954832 10.2882809263058,123.880814058703 10.2879508791684,123.879022181815 10.2872948531107,123.878105407594 10.2867618309349,123.877688692038 10.2862698096662,123.877120814893 10.2856711482316,123.876748475969 10.2854686886394,123.874363013113 10.2849127891024,123.874354967596 10.2849167472235,123.873729894263 10.2859007932114)))",Orange,polygon_orange,C:/Users/NJ533CG/qgis_projects/fco_cebu/mapEfforts_04012021/postprocessing/orange_minus_red_minus_violet_minus_light_violet.geojson
"MULTIPOLYGON (((123.885647959145 10.2901649570469,123.889273384476 10.2895909383476,123.891648663141 10.2898369464894,123.89352388314 10.2903699634722,123.895815818694 10.2922970173601,123.896357548916 10.2925020224002,123.898066082693 10.292584024379,123.899732944914 10.292174014272,123.901233120913 10.2920100100801,123.901066434691 10.2906569722439,123.89744100936 10.2904519660051,123.894815701362 10.2902879609181,123.893857255584 10.2890169186043,123.892190393363 10.2881968885886,123.891685776439 10.2881658571109,123.889733599976 10.2882844243274,123.888372286551 10.2879921858678,123.887439836033 10.288278891686,123.885647959145 10.2901649570469)))",Orange,polygon_orange,C:/Users/NJ533CG/qgis_projects/fco_cebu/mapEfforts_04012021/postprocessing/orange_minus_red_minus_violet_minus_light_violet.geojson
"MULTIPOLYGON (((123.907150481799 10.2968070974697,123.907119228132 10.2968011182395,123.907119228132 10.2968524137369,123.907150481799 10.2968070974697)),((123.906806578637 10.2967413043458,123.9056503058 10.2965200942931,123.904816874689 10.2956180826091,123.90210822358 10.2956590831962,123.90173317958 10.2962330908553,123.902316581357 10.297709105753,123.904816874689 10.2978321066827,123.906358722244 10.2979551075643,123.90707708511 10.2969135190192,123.906806578637 10.2967413043458)))",Orange,polygon_orange,C:/Users/NJ533CG/qgis_projects/fco_cebu/mapEfforts_04012021/postprocessing/orange_minus_red_minus_violet_minus_light_violet.geojson
"MULTIPOLYGON (((123.913901273795 10.3024651067569,123.913276200462 10.3019321102143,123.912192740018 10.3012761132323,123.911609338241 10.3005791149432,123.910692564019 10.2998411150751,123.910192505352 10.2984471106112,123.909650775131 10.2972581019338,123.908608986242 10.2979961078476,123.908275613798 10.2985291110444,123.90844230002 10.2991851137422,123.909109044909 10.2998411150751,123.910525877797 10.3007431146793,123.910859250241 10.30090711433,123.910984264908 10.3012761132323,123.911484323574 10.302547106145,123.911484323574 10.302547106145,123.911484323574 10.302547106145,123.913901273795 10.3024651067569)))",Orange,polygon_orange,C:/Users/NJ533CG/qgis_projects/fco_cebu/mapEfforts_04012021/postprocessing/orange_minus_red_minus_violet_minus_light_violet.geojson
