WKT,Line,Description
"MULTILINESTRING ((123.847052402747 10.2581769723055,123.849950776163 10.2607121121667,123.851560983616 10.2685286655592,123.85564017583 10.2686342933365,123.855854870157 10.273176254382,123.857357730446 10.2735987590691,123.85746507761 10.2777181501702,123.86143692266 10.2855342830804,123.863583865931 10.2871186107651,123.872278986177 10.2882804460138,123.875070012429 10.2892310353092,123.874640623775 10.2931389834412,123.876465525555 10.2956738428345,123.878719815989 10.296941264892,123.885804728782 10.2967300282361,123.891923517103 10.2974693559128,123.894821890518 10.299581711152,123.895895362153 10.3021165187582,123.898686388405 10.3039119951466,123.901048026003 10.3054962305242,123.901584761821 10.3071860728145,123.90491252389 10.3086646773835,123.908132938796 10.3109881848264,123.911138659375 10.313522900668,123.912534172501 10.3153183120435,123.917150100532 10.3166912667745,123.918975002312 10.3189091040734,123.920585209765 10.3210213155406,123.922946847363 10.3220774159568,123.92863624703 10.3261961737005,123.932500744917 10.3284139439884,123.936150548477 10.329786841565,123.940122393528 10.329786841565,123.943020766943 10.3285195517072,123.945811793195 10.3273578648498,123.947636694975 10.3270410404165,123.949139555264 10.329681234272,123.9502130269 10.3309485194466,123.950749762717 10.331265339942,123.950857109881 10.3329550438564,123.950642415554 10.3359120038443,123.949354249591 10.3382353100247,123.947099959157 10.3398193725675,123.946455876176 10.3428818708256,123.946670570503 10.3455219315537,123.949246902428 10.3466835512392,123.953648136133 10.347845166625,123.956439162384 10.3506963861579,123.957190592529 10.3527027843693,123.957190592529 10.3544979718892,123.954399566277 10.3556595583377,123.951179151371 10.3558707554115,123.950105679736 10.35745472893,123.950427721227 10.3597778756131,123.952145275843 10.3602002640692,123.95203792868 10.3624177941236,123.952682011661 10.3643185216795,123.955902426567 10.3648464995096,123.956546509548 10.3667472123297,123.958478758491 10.3666416174757,123.960947743253 10.3642129260067,123.96298733936 10.3610450392735,123.96481224114 10.3634737553004,123.96663714292 10.3640017345543,123.966851837247 10.3672751860662,123.96663714292 10.3690702901121,123.965993059938 10.3705486033641,123.964597546813 10.3718157234531,123.96116243758 10.3719213165624,123.957619981183 10.3719213165624,123.955795079403 10.3719213165624,123.95600977373 10.3729772456958,123.956546509548 10.375089093276,123.961699173397 10.377095335277,123.963846116668 10.3781512469528,123.966529795756 10.3796295173116,123.968569391863 10.3799462886224,123.970931029461 10.3785736106252,123.973185319895 10.3789959737275,123.974473485857 10.3799462886224,123.975868998983 10.3816357301957,123.97790859509 10.3820580891631))",Line,Bounds liquefaction risk
